runid, cl1et,cl1cp, cl2et, cl2cp, SSAS_TIME, DSAS_TIME, IRLM_TIME,  DDF_TIME,lock_req,unlock_req,claim_req,sync_xes_lock,synch_xes_unlock,tot_getpages,TOT_GETM_STORAGE,TOT_VAR_STORAGE,TOT_AGENT_LOC_STRG,TOT_AGENT_SYS_STRG,TOT_FIXED_STORAGE,TOT_GETM_STCK_STOR,A2GB_SHR_REALF_TS,A2GB_SHR_REALF_STK
"D170407A",+000006921.216309,+00000000526.593597,+000006629.307076,+00000000253.357605,+000000000071.377727,+000000000192.285223,+000000000056.163931,+000000000000.005034,+1.02786640000000E+007,+1.26670000000000E+005,+5.62037000000000E+005,+1.28055720000000E+007,+9.69602000000000E+005,+3.03939120000000E+007,+1.63000000000000E+000,+7.13000000000000E+000,+4.62000000000000E+000,+3.26000000000000E+000,+2.00000000000000E-001,+1.37600000000000E+001,+8.41900000000000E+001,+5.90700000000000E+001
"D170410C",+000006941.266713,+00000000526.292154,+000006647.614499,+00000000253.227408,+000000000070.734840,+000000000192.952091,+000000000053.140258,+000000000000.004130,+1.02786220000000E+007,+1.26643000000000E+005,+5.62037000000000E+005,+1.29354330000000E+007,+9.69337000000000E+005,+3.05045810000000E+007,+2.11000000000000E+000,+7.58000000000000E+000,+5.04000000000000E+000,+3.47000000000000E+000,+2.00000000000000E-001,+1.55400000000000E+001,+9.05600000000000E+001,+5.90300000000000E+001
"D170325A",+000006941.608878,+00000000525.011418,+000006649.152925,+00000000252.384082,+000000000070.309235,+000000000191.041891,+000000000053.052769,+000000000000.004908,+1.02776660000000E+007,+1.26343000000000E+005,+5.61418000000000E+005,+1.29871950000000E+007,+9.76139000000000E+005,+3.13002880000000E+007,+1.77000000000000E+000,+7.11000000000000E+000,+4.58000000000000E+000,+3.37000000000000E+000,+2.00000000000000E-001,+1.39800000000000E+001,+8.36200000000000E+001,+5.87800000000000E+001
"D170411A",+000006946.798268,+00000000525.580007,+000006652.307674,+00000000252.497609,+000000000070.296441,+000000000196.673331,+000000000055.331664,+000000000000.005096,+1.02784020000000E+007,+1.26576000000000E+005,+5.61874000000000E+005,+1.29718140000000E+007,+9.72334000000000E+005,+3.11729240000000E+007,+2.28000000000000E+000,+7.91000000000000E+000,+5.35000000000000E+000,+3.93000000000000E+000,+2.30000000000000E-001,+1.61800000000000E+001,+9.56800000000000E+001,+5.90400000000000E+001
"D170202A",+000006949.136741,+00000000523.926828,+000006655.404873,+00000000250.938197,+000000000070.418815,+000000000191.971513,+000000000054.430696,+000000000000.005007,+1.02777610000000E+007,+1.26369000000000E+005,+5.61459000000000E+005,+1.29461420000000E+007,+9.87104000000000E+005,+3.04451150000000E+007,+1.82000000000000E+000,+7.31000000000000E+000,+4.78000000000000E+000,+3.18000000000000E+000,+2.00000000000000E-001,+1.43500000000000E+001,+8.63400000000000E+001,+5.94500000000000E+001
"D170329A",+000006950.994028,+00000000526.144379,+000006656.696369,+00000000252.953864,+000000000070.196312,+000000000195.396158,+000000000054.780983,+000000000000.004903,+1.02785950000000E+007,+1.26637000000000E+005,+5.62016000000000E+005,+1.29036860000000E+007,+9.76789000000000E+005,+3.05677600000000E+007,+2.01000000000000E+000,+9.06000000000000E+000,+6.48000000000000E+000,+4.98000000000000E+000,+2.30000000000000E-001,+1.67600000000000E+001,+9.87800000000000E+001,+6.12300000000000E+001
"D170327A",+000006986.083809,+00000000521.999652,+000006684.864802,+00000000248.819750,+000000000069.187337,+000000000198.751121,+000000000055.066225,+000000000000.004846,+1.02770850000000E+007,+1.26130000000000E+005,+5.61018000000000E+005,+1.22011310000000E+007,+9.10260000000000E+005,+3.18535970000000E+007,+1.90000000000000E+000,+7.25000000000000E+000,+4.71000000000000E+000,+3.51000000000000E+000,+2.00000000000000E-001,+1.46000000000000E+001,+8.17100000000000E+001,+5.87300000000000E+001
"D170321B",+000006986.989752,+00000000524.316652,+000006691.175283,+00000000251.694031,+000000000069.797454,+000000000212.980210,+000000000053.930538,+000000000000.005035,+1.02774370000000E+007,+1.26159000000000E+005,+5.61331000000000E+005,+1.26574740000000E+007,+9.34009000000000E+005,+3.18720680000000E+007,+2.25000000000000E+000,+7.75000000000000E+000,+5.20000000000000E+000,+3.69000000000000E+000,+2.30000000000000E-001,+1.60500000000000E+001,+1.82970000000000E+002,+5.91900000000000E+001
"D170321A",+000006992.377099,+00000000533.196486,+000006699.004762,+00000000260.342810,+000000000070.523576,+000000000207.474279,+000000000054.780916,+000000000000.004893,+1.02800120000000E+007,+1.27100000000000E+005,+5.62935000000000E+005,+1.32519740000000E+007,+9.77187000000000E+005,+3.14866080000000E+007,+2.05000000000000E+000,+7.64000000000000E+000,+5.10000000000000E+000,+3.67000000000000E+000,+2.30000000000000E-001,+1.53700000000000E+001,+1.82280000000000E+002,+5.85300000000000E+001
"D170324A",+000007019.857315,+00000000530.797250,+000006728.597364,+00000000257.598477,+000000000070.544399,+000000000207.112589,+000000000054.170146,+000000000000.005042,+1.02772640000000E+007,+1.26172000000000E+005,+5.61158000000000E+005,+1.33883210000000E+007,+9.84580000000000E+005,+3.20166620000000E+007,+2.29000000000000E+000,+7.71000000000000E+000,+5.16000000000000E+000,+3.62000000000000E+000,+2.30000000000000E-001,+1.59600000000000E+001,+9.35600000000000E+001,+5.93300000000000E+001
"D170326B",+000007032.517169,+00000000528.149678,+000006739.051799,+00000000255.087016,+000000000069.605379,+000000000197.476510,+000000000053.135302,+000000000000.005106,+1.02768970000000E+007,+1.26099000000000E+005,+5.60885000000000E+005,+1.31550180000000E+007,+9.71735000000000E+005,+3.14326440000000E+007,+1.83000000000000E+000,+7.29000000000000E+000,+4.76000000000000E+000,+3.37000000000000E+000,+2.00000000000000E-001,+1.43700000000000E+001,+8.64800000000000E+001,+6.13800000000000E+001
"D170403A",+000007073.015424,+00000000521.125321,+000006782.579506,+00000000247.988907,+000000000034.067447,+000000000235.088846,+000000000021.261100,+000000000000.005403,+1.03176100000000E+007,+1.29182000000000E+005,+5.98756000000000E+005,+1.27450320000000E+007,+8.56742000000000E+005,+3.12536470000000E+007,+1.78000000000000E+000,+7.18000000000000E+000,+4.65000000000000E+000,+3.26000000000000E+000,+2.00000000000000E-001,+1.42100000000000E+001,+8.44100000000000E+001,+6.02800000000000E+001
"D170404A",+000007080.452518,+00000000531.626600,+000006785.387322,+00000000258.563455,+000000000070.021906,+000000000206.330788,+000000000053.843392,+000000000000.005127,+1.02790150000000E+007,+1.26799000000000E+005,+5.62263000000000E+005,+1.31898510000000E+007,+9.81646000000000E+005,+3.06893530000000E+007,+1.71000000000000E+000,+7.33000000000000E+000,+4.80000000000000E+000,+3.28000000000000E+000,+2.00000000000000E-001,+1.39900000000000E+001,+8.29800000000000E+001,+5.86200000000000E+001
"D170410A",+000007163.448325,+00000000551.875702,+000006866.908574,+00000000278.264936,+000000000072.797379,+000000000230.792763,+000000000057.567212,+000000000000.003909,+1.02860590000000E+007,+1.29103000000000E+005,+5.66991000000000E+005,+1.31338640000000E+007,+9.68745000000000E+005,+3.11876750000000E+007,+2.07000000000000E+000,+7.40000000000000E+000,+4.86000000000000E+000,+3.43000000000000E+000,+2.00000000000000E-001,+1.49900000000000E+001,+8.41400000000000E+001,+5.94600000000000E+001
"D170405A",+000007164.339184,+00000000537.104547,+000006871.614687,+00000000264.042330,+000000000071.123055,+000000000216.461940,+000000000056.086240,+000000000000.005145,+1.02794370000000E+007,+1.26898000000000E+005,+5.62618000000000E+005,+1.36309690000000E+007,+9.59145000000000E+005,+3.16763600000000E+007,+2.06000000000000E+000,+7.66000000000000E+000,+5.12000000000000E+000,+3.52000000000000E+000,+2.30000000000000E-001,+1.52300000000000E+001,+8.74700000000000E+001,+5.90200000000000E+001
"D170410D",+000007171.419555,+00000000503.756798,+000006876.464335,+00000000231.374357,+000000000062.993092,+000000000132.327453,+000000000050.753984,+000000000000.006208,+1.02764810000000E+007,+1.25831000000000E+005,+5.60632000000000E+005,+1.10946770000000E+007,+8.37612000000000E+005,+2.90444560000000E+007,+1.64000000000000E+000,+6.89000000000000E+000,+4.38000000000000E+000,+3.10000000000000E+000,+1.40000000000000E-001,+1.35400000000000E+001,+1.76630000000000E+002,+5.80000000000000E+001
"D170321B",+000007184.314674,+00000000531.343905,+000006890.504185,+00000000258.646195,+000000000069.797454,+000000000212.980210,+000000000053.930538,+000000000000.005035,+1.02780160000000E+007,+1.26417000000000E+005,+5.61661000000000E+005,+1.35427980000000E+007,+9.91685000000000E+005,+3.18720680000000E+007,+2.25000000000000E+000,+7.75000000000000E+000,+5.20000000000000E+000,+3.69000000000000E+000,+2.30000000000000E-001,+1.60500000000000E+001,+1.82970000000000E+002,+5.91900000000000E+001
"D170410D",+000007343.566703,+00000000507.194272,+000007046.172110,+00000000234.719156,+000000000062.993092,+000000000132.327453,+000000000050.753984,+000000000000.006208,+1.02782090000000E+007,+1.26518000000000E+005,+5.61709000000000E+005,+1.14887550000000E+007,+8.69887000000000E+005,+2.90444560000000E+007,+1.64000000000000E+000,+6.89000000000000E+000,+4.38000000000000E+000,+3.10000000000000E+000,+1.40000000000000E-001,+1.35400000000000E+001,+1.76630000000000E+002,+5.80000000000000E+001
"D170403A",+000008112.124037,+00000000440.389239,+000007791.990937,+00000000167.576046,+000000000034.067447,+000000000235.088846,+000000000021.261100,+000000000000.005403,+1.02844870000000E+007,+1.28197000000000E+005,+5.66735000000000E+005,+1.98974200000000E+006,+2.91469000000000E+005,+3.12536470000000E+007,+1.78000000000000E+000,+7.18000000000000E+000,+4.65000000000000E+000,+3.26000000000000E+000,+2.00000000000000E-001,+1.42100000000000E+001,+8.44100000000000E+001,+6.02800000000000E+001
"D170322A",+000008878.771476,+00000000522.946812,+000008590.003531,+00000000249.924865,+000000000028.580984,+000000000324.184645,+000000000016.355906,+000000000000.006676,+1.02848490000000E+007,+1.28732000000000E+005,+5.66583000000000E+005,+1.30268340000000E+007,+8.27618000000000E+005,+3.19625470000000E+007,+2.34000000000000E+000,+7.80000000000000E+000,+5.24000000000000E+000,+3.67000000000000E+000,+2.30000000000000E-001,+1.62000000000000E+001,+1.85210000000000E+002,+6.10000000000000E+001
"D170420A",+000010181.145232,+00000000437.764383,+000009868.184823,+00000000165.284186,+000000000031.332129,+000000000299.378382,+000000000019.458718,+000000000000.006623,+1.02825480000000E+007,+1.27094000000000E+005,+5.66123000000000E+005,+9.95673000000000E+005,+2.44116000000000E+005,+1.51491810000000E+007,+1.60000000000000E+000,+7.09000000000000E+000,+4.57000000000000E+000,+3.16000000000000E+000,+2.00000000000000E-001,+1.38700000000000E+001,+8.15100000000000E+001,+5.94000000000000E+001
"D170322A",+000010732.371309,+00000000434.726973,+000010407.735348,+00000000162.157445,+000000000028.580984,+000000000324.184645,+000000000016.355906,+000000000000.006676,+1.02827630000000E+007,+1.26946000000000E+005,+5.66555000000000E+005,+4.10541000000000E+005,+2.09282000000000E+005,+3.19625470000000E+007,+2.34000000000000E+000,+7.80000000000000E+000,+5.24000000000000E+000,+3.67000000000000E+000,+2.30000000000000E-001,+1.62000000000000E+001,+1.85210000000000E+002,+6.10000000000000E+001
